User Input,Top Matched Question,2nd Matched Question,3rd Matched Question
Can you tell me Nokia's current intent score?,"""How does Tesla's intent score compare to last month?"" with score 0.509",Score: 0.490,Score: 0.437
The last interaction we had with Yahoo was when?,"""When was the last time we interacted with Google?"" with score 0.606",Score: 0.569,Score: 0.560
Identify all the leads linked to Dell.,"""Who are all the leads associated with Microsoft?"" with score 0.445",Score: 0.368,Score: 0.368
Show me the most recent leads from Alibaba.,"""What leads are being worked on by Alice?"" with score 0.407",Score: 0.361,Score: 0.328
What type of leads does Michael possess?,"""What leads do John have?"" with score 0.567",Score: 0.496,Score: 0.444
Are there accounts that might have similar victories to Instagram?,"""Which accounts will result in a win like account Facebook?"" with score 0.624",Score: 0.431,Score: 0.390
Provide the recent successes of HP.,"""Which of George's accounts have the highest growth potential?"" with score 0.287",Score: 0.255,Score: 0.254
How many business agreements are set with Hulu?,"""How many deals do we have for account Netflix?"" with score 0.470",Score: 0.362,Score: 0.305
Who are the leads Jennifer is currently handling?,"""What leads are being worked on by Alice?"" with score 0.496",Score: 0.447,Score: 0.431
Identify the contacts Mike is overseeing.,"""What contacts are being worked on by Bob?"" with score 0.493",Score: 0.431,Score: 0.388
What's the renewal date for Tidal?,"""When is the renewal due for Spotify?"" with score 0.599",Score: 0.379,Score: 0.313
Can you provide details on LG's most recent deal?,"""What was the last deal at company Adobe?"" with score 0.442",Score: 0.413,Score: 0.391
Any leads linked to WooCommerce in my list?,"""Do I have any leads in account Shopify?"" with score 0.468",Score: 0.397,Score: 0.371
Describe the latest event we had with Cisco.,"""What was the last interaction with IBM?"" with score 0.380",Score: 0.360,Score: 0.349
Who was the last to engage with Pinterest on our behalf?,"""Who were the last contacts from Google to engage with our content?"" with score 0.564",Score: 0.453,Score: 0.439
How do Sony's earlier successes appear?,"""What do previous wins look like in Samsung?"" with score 0.562",Score: 0.371,Score: 0.359
Describe the methodology Kevin uses to boost Instagram engagement.,"""How do George generate Facebook pipeline?"" with score 0.314",Score: 0.310,Score: 0.301
Provide the newest updates from Jessica's account list.,"""What is the latest in Maria's accounts?"" with score 0.446",Score: 0.413,Score: 0.367
Describe our most recent engagement with Nokia.,"""What was the last interaction with IBM?"" with score 0.383",Score: 0.364,Score: 0.360
Who oversees Yahoo's account on our end?,"""Who is managing the account for Google?"" with score 0.621",Score: 0.485,Score: 0.460
Are there any prospective deals in the pipeline with Dell?,"""How many deals do we have for account Netflix?"" with score 0.411",Score: 0.408,Score: 0.345
Has Michael seen success with his current leads?,"""Has John had any success with his leads?"" with score 0.650",Score: 0.397,Score: 0.365
"Compared to the previous month, how is BlackBerry's intent score?","""How does Tesla's intent score compare to last month?"" with score 0.607",Score: 0.538,Score: 0.418
Any notable activities from Alibaba recently?,"""Are there any updates on Amazon's recent activity?"" with score 0.421",Score: 0.360,Score: 0.352
Identify our main liaison at Tidal.,"""Who is our primary contact at Spotify?"" with score 0.422",Score: 0.300,Score: 0.269
Any upcoming WooCommerce events or webinars we should be aware of?,"""Are there any upcoming events or webinars for Shopify customers?"" with score 0.636",Score: 0.343,Score: 0.318
The last deal Jennifer finalized with HP was when?,"""When did Emma last close a deal with Oracle?"" with score 0.515",Score: 0.438,Score: 0.392
Have we gotten any reviews or feedback from Hulu?,"""What feedback have we received from Netflix?"" with score 0.599",Score: 0.404,Score: 0.379
Which of Yahoo's contacts recently engaged with our materials?,"""Who were the last contacts from Google to engage with our content?"" with score 0.575",Score: 0.558,Score: 0.484
What kind of assistance does Pinterest often request?,"""What type of support does Twitter require?"" with score 0.404",Score: 0.320,Score: 0.311
Did the Cisco team provide comments from our last engagement?,"""Is there any feedback from the last meeting with IBM's team?"" with score 0.592",Score: 0.489,Score: 0.446
Which accounts managed by Kevin have a promising future?,"""What accounts should I work on next?"" with score 0.485",Score: 0.470,Score: 0.388
How many months has Jessica been overseeing LG's account?,"""How long has Maria been managing the Adobe account?"" with score 0.558",Score: 0.456,Score: 0.412
Any pending issues or concerns regarding Instagram?,"""Are there any unresolved issues with Facebook?"" with score 0.557",Score: 0.368,Score: 0.353
Members of which team frequently engage with Dell?,"""Which team members have had the most interaction with Microsoft?"" with score 0.555",Score: 0.402,Score: 0.387
Outline the next key events or goals for the Nokia account.,"""What are the upcoming milestones for the Apple account?"" with score 0.445",Score: 0.385,Score: 0.383
